Successful Parenthood—A Noteworthy Accomplishment,ElRay L. Christiansen,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2040-elder-elray-l-christiansen-64k-eng.mp3?download=true
The Importance of a Personal Testimony,James A. Cullimore,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2050-elder-james-a-cullimore-64k-eng.mp3?download=true
Civic Standards for the Faithful Saints,Ezra Taft Benson,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2060-elder-ezra-taft-benson-64k-eng.mp3?download=true
“Judge Not, That Ye Be Not Judged”,N. Eldon Tanner,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3010-president-n-eldon-tanner-64k-eng.mp3?download=true
What Is Your Destination?,Marvin J. Ashton,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3020-elder-marvin-j-ashton-64k-eng.mp3?download=true
Our Witness to the World,Hartman Rector Jr.,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3030-elder-hartman-rector-jr-64k-eng.mp3?download=true
The Importance of Prayer,Franklin D. Richards,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3040-elder-franklin-d-richards-64k-eng.mp3?download=true
“Finishers Wanted”,Thomas S. Monson,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3050-elder-thomas-s-monson-64k-eng.mp3?download=true
What Will the Church Do for You, a Man?,Gordon B. Hinckley,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4010-elder-gordon-b-hinckley-64k-eng.mp3?download=true
Am I My Brother’s Keeper?,Henry D. Taylor,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4020-elder-henry-d-taylor-64k-eng.mp3?download=true
Missionary Training Begins Early,S. Dilworth Young,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4030-elder-s-dilworth-young-64k-eng.mp3?download=true
Salvation and Exaltation,Theodore M. Burton,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4040-elder-theodore-m-burton-64k-eng.mp3?download=true
Man’s Eternal Horizon,Joseph Anderson,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4050-elder-joseph-anderson-64k-eng.mp3?download=true
